scenario,method_name,dataset,forecaster_key,window,window_order,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,joint_loss,selected_static_policy,router_loss_audit
M,static_segment,UCI Electricity,persistence,2014-08,7,0.8035584775959386,243.5432056520561,588.697762649019,0.0554070885756629,0.0156735364396654,0.03554031250766415,,
M,static_user,UCI Electricity,persistence,2014-08,7,0.8061313578027938,262.3104888960068,573.5963590965983,0.0297884542616592,0.0459652528872958,0.037876853574477495,,
M,static_global,UCI Electricity,persistence,2014-09,8,0.8096183610296513,237.58813501656664,562.0958198912934,0.052747230368198,0.0487011316872428,0.0507241810277204,,
M,static_segment,UCI Electricity,persistence,2014-09,8,0.8103688090583252,250.81157367528857,558.4975048388219,0.050640477354187,0.0150840643274853,0.03286227084083615,,
M,static_user,UCI Electricity,persistence,2014-09,8,0.8129388644509612,282.3505291378212,548.5817929482027,0.0283123574454219,0.0225694444444444,0.025440900944933148,,
M,static_global,UCI Electricity,persistence,2014-10,9,0.8063313940655252,226.7731020732031,509.0553484108698,0.0519424210891432,0.0627190362405416,0.0573307286648424,,
M,static_segment,UCI Electricity,persistence,2014-10,9,0.8120772632674298,241.91050848187427,505.184620952811,0.0493009570207801,0.0211976513865308,0.03524930420365545,,
M,static_user,UCI Electricity,persistence,2014-10,9,0.8101379954592753,270.67253253932824,495.7906224793682,0.0358419654400403,0.0228883701188454,0.029365167779442848,,
M,static_global,UCI Electricity,persistence,2014-11,10,0.807994257086999,220.5362053287664,397.10875604209485,0.0529926278918214,0.0712191358024691,0.062105881847145245,,
M,static_segment,UCI Electricity,persistence,2014-11,10,0.8150211795373086,226.543916737653,396.06343488229646,0.050264744216357,0.0266008771929824,0.0384328107046697,,
M,static_user,UCI Electricity,persistence,2014-11,10,0.8122658031932225,249.5368071632836,392.27677103611336,0.0407400619094167,0.0318544238683127,0.0362972428888647,,
M,static_global,UCI Electricity,persistence,2014-12,11,0.7962290700974364,220.5361979385011,374.5090198270745,0.0567570869990224,0.0864147749900438,0.0715859309945331,,
M,static_segment,UCI Electricity,persistence,2014-12,11,0.7982589947340207,212.35842607781515,372.4737602461823,0.0539514552391763,0.0128136200716846,0.03338253765543045,,
M,static_user,UCI Electricity,persistence,2014-12,11,0.7969641787279664,219.3555263088331,367.1869270239196,0.0393805379497367,0.0273098367184387,0.0333451873340877,,
M,static_best_fixed,London,lgbm,2013-03,0,0.7948175646695163,0.3809369540410132,0.6559613458987453,0.0265550664867221,0.0151369261935421,0.020845996340132098,,
