dataset,forecaster,coverage,horizon_hours,method,mean_user_window_gap,pooled_user_gap,temporal_cancellation_absolute,temporal_cancellation_ratio,equal_window_mean_user_window_gap,equal_window_pooled_user_gap,equal_window_temporal_cancellation_absolute,equal_window_temporal_cancellation_ratio,legacy_hybrid_mean_user_window_gap,legacy_hybrid_temporal_cancellation_absolute,legacy_hybrid_temporal_cancellation_ratio,weighting
Ausgrid,lightgbm_quantile,0.8,1.0,raw,0.0454268795528474,0.036711221575724276,0.008715657977123127,0.191861251816422,0.0454317482115957,0.03670910389769964,0.008722644313896064,0.19199446768525966,0.0454317482115957,0.008720526635871424,0.19194785539081796,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,6.0,raw,0.07327983367974293,0.03513722344867792,0.03814261023106501,0.5205062336489573,0.07318100943093737,0.03514890314621589,0.038032106284721486,0.5196991211307801,0.07318100943093736,0.03804378598225944,0.519858721246012,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,6.0,rolling_global_norm,0.075701058959218,0.03735007448794225,0.038350984471275745,0.5066109377933056,0.07571222325297262,0.03736090207530789,0.03835132117766473,0.5065406816746592,0.07571222325297262,0.03836214876503037,0.50668369144112,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,6.0,rolling_group_norm,0.07430266101363114,0.03809144689363828,0.03621121411999286,0.4873474735090545,0.07431925864248393,0.03809370637773915,0.036225552264744776,0.48743156116518055,0.07431925864248394,0.03622781174884566,0.48746196356883936,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.8,6.0,rolling_user_norm,0.060076414215484535,0.011029072685312157,0.04904734153017238,0.8164159291239882,0.060171530995169635,0.011074800206237025,0.04909673078893261,0.8159461788145947,0.060171530995169635,0.04914245830985748,0.8167061315724619,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,1.0,raw,0.032108726643280946,0.017287273516293677,0.01482145312698727,0.461602021520489,0.03207104845833249,0.01728765204147892,0.014783396416853566,0.46095769011295423,0.03207104845833249,0.014783774942038811,0.4609694928198641,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,1.0,rolling_global_norm,0.03277542724866504,0.019259054855688712,0.01351637239297633,0.4123934766869243,0.0327647346080692,0.019259895128506014,0.013504839479563189,0.4121760679922387,0.0327647346080692,0.01350567975238049,0.4122017136392233,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,1.0,rolling_group_norm,0.032852863484759354,0.01960020661444774,0.013252656870311613,0.4033942696185251,0.03284819669438485,0.019603089400664915,0.013245107293719936,0.4032217481206232,0.03284819669438485,0.01324799007993711,0.403309508987498,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,1.0,rolling_user_norm,0.02642964180786212,0.005324053954986115,0.021105587852876008,0.79855746840268,0.026466691949732415,0.0053486876392821615,0.02111800431045025,0.7979087205367107,0.026466691949732415,0.021142637994746298,0.7988394633867364,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,6.0,raw,0.04398928157314981,0.02218023187636811,0.0218090496967817,0.49578099293382216,0.04393085703160655,0.022184726521656224,0.021746130509950324,0.4950081100012419,0.043930857031606554,0.021750625155238443,0.49511042180646986,within-user effective-sample weighting for both terms; users macro-averaged
London,persistence_quantile_interval,0.9,6.0,rolling_global_norm,0.045933271702131837,0.025241647191302875,0.02069162451082896,0.45047138477333043,0.04593786772357613,0.02524598849423358,0.020691879229342548,0.45043186056986073,0.045937867723576144,0.02069622053227327,0.45052636436696414,within-user effective-sample weighting for both terms; users macro-averaged
