dataset,configuration,coverage,horizon_hours,window,window_order,fold,fit_days,validation_start,validation_stop_exclusive,policy,n,picp,mpiw,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,normalized_interval_score
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,1,35,2013-12-11 00:00:00,2013-12-18 00:00:00,rolling_user_norm,167789,0.8018523264337948,0.3750599846316929,0.0326728389841547,0.0151483243164736,2.643140111009861
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,2,42,2013-12-18 00:00:00,2013-12-25 00:00:00,rolling_global_norm,167933,0.803570471557109,0.3641384500359444,0.0511172316374715,0.0174326580991794,2.615066288842085
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,2,42,2013-12-18 00:00:00,2013-12-25 00:00:00,rolling_group_norm,167933,0.8035049692436864,0.3643207376883833,0.0509829473974597,0.0201190735496986,2.615042139985918
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,2,42,2013-12-18 00:00:00,2013-12-25 00:00:00,rolling_user_norm,167933,0.8021294206618116,0.3660116843483371,0.0364015057139283,0.0140201844187903,2.6086893740134407
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,3,49,2013-12-25 00:00:00,2014-01-01 00:00:00,rolling_global_norm,167992,0.8010083813514929,0.3611548709985442,0.0548371370499419,0.0065826330532212,2.697468308623781
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,3,49,2013-12-25 00:00:00,2014-01-01 00:00:00,rolling_group_norm,167992,0.801079813324444,0.3612431088999396,0.0544872822299651,0.0068379790940765,2.6974129455600533
London,lightgbm_quantile__c80__h1,0.8,1.0,2014-01,10,3,49,2013-12-25 00:00:00,2014-01-01 00:00:00,rolling_user_norm,167992,0.7983296823658269,0.3630605717634457,0.041144831591173,0.0021003360537686,2.686644194543215
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,1,35,2013-02-08 00:00:00,2013-02-15 00:00:00,rolling_global_norm,167996,0.9009500226195862,0.559162831215842,0.0276666810097532,0.004471544715447,3.4271449408955745
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,1,35,2013-02-08 00:00:00,2013-02-15 00:00:00,rolling_group_norm,167996,0.9008071620752875,0.5589947436078877,0.0277404905335628,0.0034771342530989,3.427109852596232
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,1,35,2013-02-08 00:00:00,2013-02-15 00:00:00,rolling_user_norm,167996,0.9002059572846972,0.5543299510927879,0.0213802065404475,0.0042474963232719,3.419408266494178
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,2,42,2013-02-15 00:00:00,2013-02-22 00:00:00,rolling_global_norm,167988,0.8995940186203777,0.5397618986316287,0.0285108465608465,0.0039997096399535,3.3591044104024377
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,2,42,2013-02-15 00:00:00,2013-02-22 00:00:00,rolling_group_norm,167988,0.8995225849465438,0.5396276841840004,0.0284537037037037,0.0016260162601626,3.3590636902406388
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,2,42,2013-02-15 00:00:00,2013-02-22 00:00:00,rolling_user_norm,167988,0.8981772507560064,0.5351537341027849,0.0241922398589065,0.0027745775729647,3.354445332782909
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,3,49,2013-02-22 00:00:00,2013-03-01 00:00:00,rolling_global_norm,167845,0.8933599451875242,0.5672830000265161,0.0305064260421696,0.008678955453149,3.567239359386246
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,3,49,2013-02-22 00:00:00,2013-03-01 00:00:00,rolling_group_norm,167845,0.893127587953171,0.5671533608316649,0.0306219022326458,0.0137848432055749,3.567145813680278
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-03,0,3,49,2013-02-22 00:00:00,2013-03-01 00:00:00,rolling_user_norm,167845,0.8928416098185826,0.5627502008205647,0.0256488900002299,0.0121515679442508,3.560148571851569
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-04,1,1,35,2013-03-11 00:00:00,2013-03-18 00:00:00,rolling_global_norm,167950,0.8901637392080977,0.5479925055345085,0.0333623530246447,0.0189750290360046,3.5851210338713204
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-04,1,1,35,2013-03-11 00:00:00,2013-03-18 00:00:00,rolling_group_norm,167950,0.8900208395355761,0.5478809228789029,0.0337031852453835,0.0239474448315911,3.585138721785384
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-04,1,1,35,2013-03-11 00:00:00,2013-03-18 00:00:00,rolling_user_norm,167950,0.8909913664781185,0.544610505643722,0.0268540564553059,0.0215882694541231,3.576355728171812
London,lightgbm_quantile__c90__h1,0.9,1.0,2013-04,1,2,42,2013-03-18 00:00:00,2013-03-25 00:00:00,rolling_global_norm,167968,0.8933546866069727,0.5473129236198139,0.0314867606532831,0.007650987224158,3.5416346213565286
